,brand,name,gender,category
0,펀치드렁크파티즈,Angel Oversized Hoodie  BLACK ,남,상의
1,1993스튜디오,90S 트랙 스웨트셔츠_그레이,남 여,상의
2,폴로 랄프 로렌,커스텀핏 데님 셔츠   네이비,남,상의
3,키뮤어, Package  카라 라운드 선택  COOL 린넨 라이크 하프 니트_16 COLOR,남 여,상의
4,폴로 랄프 로렌,커스텀핏 포플린 셔츠   화이트,남,상의
5,푸마 셀렉트,푸마Ⅹ아미 그래픽 반팔 티셔츠   라이트 그레이   534070 04,남,상의
6,코드그라피, 패키지  반팔   긴팔 선택  오버핏 시티보이 옥스포드 셔츠,남,상의
7,마리떼,W CLASSIC LOGO TEE white,여,상의
8,엘무드,테리 인디고 데님 셔츠 블루,남,상의
9,무신사 스탠다드,릴렉스 핏 크루 넥 반팔 티셔츠 2팩,남,상의
10,스파오, 시티보이  오버핏 옥스포드 셔츠_SPYWD23C01,남,상의
11,무신사 스탠다드,베이식 긴팔 티셔츠 2팩,남,상의
12,발렌시아가,남성 BB 아이콘 라지핏 반소매 셔츠   블랙   699057TYB181000,남,상의
13,무신사 스탠다드,레이어드 크루 넥 반팔 티셔츠_일반 기장 2팩,남,상의
14,폴로 랄프 로렌,케이블니트 V넥 스웨터   블랙,여,상의
15,마뗑킴,MATIN KIM LOGO SILKET CROP TOP,여,상의
16,세터,몬타라 슬릿 케이블 풀오버 니트 보헤미안 오트밀,남,상의
17,폴로 랄프 로렌,케이블 울 캐시미어 숏 슬리브 스웨터   네이비,여,상의
18,토피,에센셜 후드 스웻 셔츠  MELANGE GREY ,남,상의
19,푸마 셀렉트,푸마 X 아미 폴로 티셔츠   그린   534067 96,남,상의
20,프라이,코튼 블렌디드 슬로건 니트 KHAKI ,남 여,상의
21,캘빈클라인 진,남 레귤러핏 인스티튜셔널 로고 반팔 티셔츠  화이트 블랙 미드그레이 그레이 베이지 5color  J321612,남,상의
22,티엔지티,차콜그레이 가먼트다잉 후드티셔츠  TNTS3F106CG ,남,상의
23,드로우핏, 오정규X드로우핏  수피마 실켓 프리미엄 코튼 티셔츠  2PACK ,남,상의
24,마인드브릿지, SET  7DRIVE IN CHILL 테리오버핏카라티셔츠 하프팬츠,남,상의
25,캘빈클라인 진,여 슬림핏 인스티튜셔널 로고 반팔 티셔츠  화이트 블랙 2color  J217960,여,상의
26,스튜디오니콜슨,남성 님버스 니트   다크 네이비   NIMBUSSNM844DARKNAVY,남,상의
27,페플, 패키지  스테이 얼론   보드마스터 그래픽 티셔츠 2PACK   JDST1315 JDST1358 ,남,상의
28,필루미네이트,옵티멀 베이직 셔츠 화이트,남 여,상의
29,인사일런스, 2 PACK  수피마 코튼 프리미엄 티셔츠_14 Color,남,상의
30,와릿이즌, 22SS  ANGEL WAPPEN STRIPE LONG SLEEVE BLACK,남,상의
31,파르티멘토,오버사이즈 스톤 워싱 데님 셔츠 블랙,남 여,상의
32,아메스 월드와이드,CHAMPIONSHIP TEE WHITE,여,상의
